default,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1,1,,10,-0.227743901,-0.096194976,0.647261887,0,1,10,0.847598004,Y,,29-Feb-20
1,0,1.867784437,0.066157442,1.666478059,-0.096194976,0.259899026,0,1,10,0.833230712,N,High,5-Mar-19
1,1,1.867784437,0.066157442,-0.227743901,-0.096194976,0.230768773,0,4,10,0.975528418,N,High,31-Jan-18
1,1,1.867784437,4.313933758,-0.490906623,-0.477077425,0.406273195,0,1,10,0.580412251,,Medium,29-Feb-20
1,1,-1.16726471,0.066157442,-0.227743901,-0.096194976,0.259899026,0,1,10,0.533771841,Y,High,5-Mar-19
1,0,-1.16726471,0.066157442,-0.227743901,-0.096194976,0.647261887,1,1,10,,N,High,31-Jan-18
1,0,1.867784437,0.066157442,-0.227743901,-0.096194976,0.259899026,0,1,10,,N,,29-Feb-20
1,1,1.867784437,4.313933758,-0.490906623,-0.477077425,0.406273195,0,1,10,0.962655023,Y,Low,29-Feb-20
1,1,1.867784437,0.066157442,-0.227743901,-0.096194976,0.259899026,1,1,10,0.124584129,Y,High,29-Feb-20
1,2,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,1,1,10,,Y,Low,31-Jan-18
0,0,1.867784437,0.066157442,-0.227743901,-0.096194976,0.230768773,1,1,10,,N,Low,5-Mar-19
1,0,1.867784437,0.066157442,-0.227743901,-0.096194976,0.259899026,0,1,10,0.371413012,N,Low,29-Feb-20
1,1,1.867784437,-0.290540296,1.666478059,1.915782436,0.259899026,1,1,10,0.594670654,N,Low,5-Mar-19
1,1,-1.379541231,4.313933758,-0.490906623,-0.477077425,0.406273195,0,1,10,,N,High,31-Jan-18
1,1,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,0.795165338,N,Low,29-Feb-20
0,0,-1.360383125,-0.290540296,-0.227743901,-0.096194976,0.647261887,0,2,10,0.07030954,N,Low,31-Jan-18
1,1,1.867784437,0.066157442,-0.227743901,-0.096194976,0.259899026,0,1,10,0.860446338,N,Low,29-Feb-20
1,1,1.867784437,0.066157442,-0.227743901,-0.096194976,0.406273195,0,1,10,0.743586001,N,Low,5-Mar-19
1,2,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,,Y,Low,29-Feb-20
1,0,1.867784437,4.313933758,1.666478059,-0.477077425,0.259899026,0,1,10,0.380528058,N,Low,5-Mar-19
